Title,Rating,Votes,Duration,Genre
Trap,5.8,136K,1h 45m,Crime
Pushpa: The Rule - Part 2,6.1,55K,3h 21m,Crime
Longlegs,6.6,183K,1h 41m,Crime
Freaky Tales,7.2,813,1h 46m,Crime
Juror #2,7.0,95K,1h 54m,Crime
The Beekeeper,6.3,155K,1h 45m,Crime
Carry-On,6.5,163K,1h 59m,Crime
Riff Raff,5.7,2.7K,1h 43m,Crime
The Order,6.8,40K,1h 56m,Crime
Emilia Pérez,5.4,87K,2h 12m,Crime
MaXXXine,6.3,69K,1h 43m,Crime
Despicable Me 4,6.2,64K,1h 34m,Crime
Wolfs,6.5,81K,1h 48m,Crime
The Crow,4.7,34K,1h 51m,Crime
Rebel Ridge,6.8,87K,2h 11m,Crime
Lucky Baskhar,8.0,31K,2h 28m,Crime
Bad Boys: Ride or Die,6.5,99K,1h 55m,Crime
Marco,6.9,21K,2h 25m,Crime
Love Lies Bleeding,6.6,56K,1h 44m,Crime
The Girl with the Needle,7.5,13K,2h 3m,Crime
Monkey Man,6.8,91K,2h 1m,Crime
The Seed of the Sacred Fig,7.6,13K,2h 47m,Crime
Santosh,7.0,1.8K,2h 8m,Crime
Toofan,7.4,7.6K,2h 25m,Crime
Misericordia,6.9,1.9K,1h 44m,Crime
Sleeping Dogs,6.2,21K,1h 50m,Crime
Lift,5.5,49K,1h 47m,Crime
Beverly Hills Cop: Axel F,6.4,81K,1h 58m,Crime
Maharaja,8.4,66K,2h 21m,Crime
The Instigators,6.2,37K,1h 41m,Crime
Beating Hearts,7.0,4.5K,2h 46m,Crime
Twilight of the Warriors: Walled In,7.0,9.3K,2h 6m,Crime
Greedy People,6.2,11K,1h 52m,Crime
Absolution,5.2,7.7K,1h 52m,Crime
Killer Heat,5.6,13K,1h 35m,Crime
Long Gone Heroes,5.2,1K,1h 41m,Crime
Brothers,5.4,13K,1h 29m,Crime
The Unholy Trinity,7.9,49,1h 33m,Crime
Force of Nature: The Dry 2,5.8,6.9K,2h,Crime
Trigger Warning,4.6,19K,1h 46m,Crime
Armor,3.6,3.7K,1h 29m,Crime
The Shadow Strays,6.5,9.1K,2h 24m,Crime
The Silent Hour,6.1,7.3K,1h 39m,Crime
Duchess,4.6,1.3K,1h 54m,Crime
Do Patti,6.5,68K,2h 6m,Crime
Boneyard,4.1,5K,1h 36m,Crime
Hitpig,5.1,907,1h 26m,Crime
Harbin,6.4,565,1h 48m,Crime
Mea Culpa,4.2,7K,2h,Crime
The Thicket,5.8,3K,1h 48m,Crime
The Calendar Killer,5.4,4.1K,1h 37m,Crime
Lake George,6.3,944,1h 58m,Crime
Baby John,5.4,17K,2h 39m,Crime
Megamind vs. The Doom Syndicate,2.5,5.5K,1h 23m,Crime
Sikandar Ka Muqaddar,6.0,24K,2h 22m,Crime
Viduthalai Part 2,7.9,16K,2h 50m,Crime
Damaged,4.7,7.2K,1h 37m,Crime
Dead Sea,5.3,5.3K,1h 28m,Crime
Blackwater Lane,4.6,1.8K,1h 48m,Crime
Sector 36,7.1,25K,2h 3m,Crime
In Youth We Trust,6.8,365,2h 12m,Crime
The Quiet Ones,6.4,655,1h 50m,Crime
Reputation,9.3,8,1h 23m,Crime
Justice,6.3,3.8K,1h 53m,Crime
Trouble,6.2,6.7K,1h 38m,Crime
Dead Wrong,3.9,257,1h 44m,Crime
Depravity,4.3,972,1h 57m,Crime
Singham Again,4.8,75K,2h 24m,Crime
Bangkok Dog,5.0,150,1h 25m,Crime
The Thundermans Return,5.0,1.8K,1h 10m,Crime
The Shameless,5.7,214,1h 54m,Crime
Colors of Evil: Red,6.4,8.4K,1h 51m,Crime
The Roundup: Punishment,6.6,5.2K,1h 49m,Crime
Detained,4.9,1.5K,1h 37m,Crime
Thalavan,7.2,4.6K,2h 11m,Crime
Jönssonligan kommer tillbaka,5.9,1.3K,1h 44m,Crime
Jigra,6.0,23K,2h 33m,Crime
Strictly Confidential,2.8,840,1h 34m,Crime
Maharaj,6.5,15K,2h 11m,Crime
Golam,7.2,5.6K,2h,Crime
"I, the Executioner",6.3,1.7K,1h 58m,Crime
Badland Hunters,5.9,12K,1h 47m,Crime
The Clean Up Crew,4.1,1.1K,1h 35m,Crime
Bougainvillea,6.4,3.1K,2h 18m,Crime
Officer Black Belt,6.8,8.1K,1h 48m,Crime
Code 8: Part II,5.7,16K,1h 40m,Crime
Pani,6.9,2.9K,2h 23m,Crime
The Courier,6.0,4.4K,1h 41m,Crime
Dead Mail,6.7,297,1h 46m,Crime
Bogota: City of the Lost,5.4,1.9K,1h 48m,Crime
Rats!,6.5,114,1h 25m,Crime
Barron's Cove,8.2,28,1h 56m,Crime
Anweshippin Kandethum,7.4,10K,2h 22m,Crime
The Soul Eater,5.9,2.5K,1h 48m,Crime
Drugstore June,5.3,1.7K,1h 31m,Crime
Ulajh,6.0,24K,2h 30m,Crime
The Kingdom,6.9,718,1h 52m,Crime
Darkness of Man,4.8,3.1K,1h 49m,Crime
The Trainer,7.0,53,1h 35m,Crime
Sicilian Letters,6.1,657,2h 2m,Crime
Inside,7.1,229,1h 44m,Crime
Marmalade,6.3,3.5K,1h 39m,Crime
Ride,5.9,388,1h 54m,Crime
Broken Rage,6.1,1.4K,1h 2m,Crime
King Ivory,7.3,63,2h 10m,Crime
Cult Killer,4.8,2.8K,1h 45m,Crime
Compulsion,6.3,12,1h 34m,Crime
What Jennifer Did,6.1,11K,1h 27m,Crime
Laws of Man,5.0,715,1h 38m,Crime
City Hunter,6.3,5.6K,1h 42m,Crime
Dengeler,5.4,182,2h 3m,Crime
Hijack 1971,6.8,3.3K,1h 40m,Crime
Revolver,5.4,847,1h 54m,Crime
First Shift,4.4,2K,1h 29m,Crime
Guns & Moses,8.1,44,1h 34m,Crime
To a Land Unknown,7.3,466,1h 45m,Crime
Lover Stalker Killer,7.0,13K,1h 30m,Crime
The Sabarmati Report,6.4,24K,2h 7m,Crime
El Jockey,6.4,1.6K,1h 36m,Crime
Crescent City,3.9,1.3K,1h 43m,Crime
Freedom,5.9,1.4K,1h 50m,Crime
Maldoror,7.0,583,2h 35m,Crime
How to Rob a Bank,6.6,4.2K,1h 28m,Crime
Here Now,4.9,391,1h 58m,Crime
Hellhound,4.3,502,1h 43m,Crime
5lbs of Pressure,5.3,1.6K,1h 51m,Crime
Wanted Man,4.8,2.6K,1h 25m,Crime
Vettaiyan,7.0,39K,2h 43m,Crime
Nice Girls,4.2,1.2K,1h 32m,Crime
Strangers,4.3,385,1h 46m,Crime
Una ballena,6.0,73,1h 48m,Crime
Saripodhaa Sanivaaram,7.0,9K,2h 46m,Crime
Sorgavaasal,6.6,1.3K,2h 18m,Crime
The Park Maniac,4.8,1.6K,1h 43m,Crime
Shoutai,6.9,538,2h,Crime
Boundless,5.6,1.9K,2h 1m,Crime
Untamed Royals,4.6,629,1h 39m,Crime
In Her Place,6.2,1.5K,1h 36m,Crime
Loverboy: Emoties Uit,6.4,502,1h 38m,Crime
Roadkill,3.7,677,1h 30m,Crime
Belle,5.8,57,1h 40m,Crime
Bloodline Killer,3.8,4.4K,1h 45m,Crime
Ferry 2,5.6,3.7K,1h 34m,Crime
Døde menn går på ski,5.4,224,1h 29m,Crime
,,,,Crime
Savi,6.2,35K,2h 6m,Crime
Faultline,5.7,89,1h 32m,Crime
Jailbreak: Love on the Run,6.4,3.1K,1h 28m,Crime
Raayan,6.5,11K,2h 25m,Crime
Kingsmen,6.4,47,1h 12m,Crime
Kaulayaw,4.1,159,1h 35m,Crime
The Lockdown,4.3,603,1h 57m,Crime
Peg O' My Heart,6.1,111,1h 37m,Crime
GTMax,5.0,1.2K,1h 40m,Crime
Two to One,6.1,718,1h 56m,Crime
Havnaa,7.2,229,1h 50m,Crime
Baby Assassins: Nice Days,7.3,291,1h 43m,Crime
Biggest Heist Ever,6.1,1.4K,1h 25m,Crime
A Place Called Silence,6.4,1.2K,1h 59m,Crime
Serpent's Path,5.8,282,1h 52m,Crime
The Girl Who Wore Yellow Lace,4.6,21,1h 22m,Crime
Tillu Square,6.6,3.4K,2h 17m,Crime
Sons of Rizk 3,6.7,1.7K,2h 5m,Crime
Mission: Cross,6.1,2.6K,1h 45m,Crime
Last Known Location,6.3,1.4K,1h 50m,Crime
Papa,7.5,320,2h 11m,Crime
Anand Sreebala,6.6,2.4K,2h 14m,Crime
Bhakshak,7.2,7.1K,2h 14m,Crime
The Moon Thieves,6.1,242,1h 48m,Crime
The Birds Who Fear Death,9.2,73,1h 42m,Crime
Citizen of a Kind,6.7,795,1h 54m,Crime
Auron Mein Kahan Dum Tha,6.6,41K,2h 30m,Crime
Phir Aayi Hasseen Dillruba,5.8,6.8K,2h 12m,Crime
The Plot,4.8,375,1h 40m,Crime
,,,,Crime
Hunt the Wicked,5.3,109,1h 42m,Crime
Bermondsey Tales: Fall of the Roman Empire,4.4,180,1h 39m,Crime
The Pee Pee Poo Poo Man,8.1,18,1h 19m,Crime
Lady Scorpions,3.6,366,1h 41m,Crime
Octopus with Broken Arms,6.1,221,1h 49m,Crime
Kondal,5.4,766,2h 27m,Crime
The Smile Man,7.6,1.5K,2h 2m,Crime
Dirty Ice Cream,4.4,116,47m,Crime
The Actor,3.3,726,2h 8m,Crime
The Waterboyz,7.8,85,1h 29m,Crime
Jersey Bred,4.4,71,1h 32m,Crime
They Called Him Mostly Harmless,5.9,3.2K,1h 29m,Crime
The Final: Attack on Wembley,6.3,2.5K,1h 22m,Crime
She's Got No Name,7.1,47,2h 30m,Crime
Operation Raavan,8.0,1.2K,2h 27m,Crime
10 Days of a Curious Man,5.7,1.2K,1h 50m,Crime
Scorched Earth,6.7,530,1h 41m,Crime
A Brothers Bond,5.3,39,1h 43m,Crime
Crisis Negotiators,6.7,706,2h,Crime
Nefarious,7.1,56,1h 25m,Crime
Borderless Fog,5.2,1.3K,1h 50m,Crime
(Pri)sons,5.1,267,1h 40m,Crime
,,,,Crime
,,,,Crime
Sheriff,6.9,1.1K,2h 13m,Crime
